parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 56 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 1 | POS | INT | 0 | 72 | 72 | (6*12)=x | 6 12 * x = | 6:dozen 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 0 | 72 | 18 | x=(6+12) | x 6 12 + = | x:dozen 6:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 0 | 72 | 72 | x=(6*12) | x 6 12 * = | x:dozen 6:dozen 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 0 | 72 | 18 | (6+12)=x | 6 12 + x = | 6:dozen 12:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 18 | 6=(x-12) | 6 x 12 - = | 6:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 2 | (6*x)=12 | 6 x * 12 = | 6:dozen x:dozen *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 2 | (x*6)=12 | x 6 * 12 = | x:dozen 6:dozen *:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 2 | 72 | 72 | (x/6)=12 | x 6 / 12 = | x:dozen 6:dozen /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 6 | (6+x)=12 | 6 x + 12 = | 6:dozen x:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 6 | x=(12-6) | x 12 6 - = | x:dozen 12:dozen 6:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 2 | x=(12/6) | x 12 6 / = | x:dozen 12:dozen 6:dozen /:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 2 | (12/6)=x | 12 6 / x = | 12:dozen 6:dozen /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 2 | 72 | 72 | 6=(x/12) | 6 x 12 / = | 6:dozen x:dozen 12:dozen /:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 6 | (x+6)=12 | x 6 + 12 = | x:dozen 6:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 18 | (x-6)=12 | x 6 - 12 = | x:dozen 6:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 2 | 6=(12/x) | 6 12 x / = | 6:dozen 12:dozen x:dozen /:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 6 | (12-6)=x | 12 6 - x = | 12:dozen 6:dozen -:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 72 | 6 | 6=(12-x) | 6 12 x - = | 6:dozen 12:dozen x:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 6 | 12=(x+6) | 12 x 6 + = | 12:dozen x:dozen 6:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 2 | (12/x)=6 | 12 x / 6 = | 12:dozen x:dozen /:dozen 6:dozen =:dozen
EXPR: 1 | POS | INT | 4 | 72 | 72 | (x/12)=6 | x 12 / 6 = | x:dozen 12:dozen /:dozen 6:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 2 | 12=(x*6) | 12 x 6 * = | 12:dozen x:dozen 6:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 6 | (12-x)=6 | 12 x - 6 = | 12:dozen x:dozen -:dozen 6:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 6 | 12=(6+x) | 12 6 x + = | 12:dozen 6:dozen x:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 4 | 72 | 72 | 12=(x/6) | 12 x 6 / = | 12:dozen x:dozen 6:dozen /:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 18 | (x-12)=6 | x 12 - 6 = | x:dozen 12:dozen -:dozen 6:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 2 | 12=(6*x) | 12 6 x * = | 12:dozen 6:dozen x:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 72 | 18 | 12=(x-6) | 12 x 6 - = | 12:dozen x:dozen 6:dozen -:dozen =:dozen
NET 28 unique, non-negative, integer-valued solutions found out of 56 total solutions
